Actual_AQI,Predicted_AQI,Predicted_Bucket
276.0,264.74435,Poor
296.0,299.51703,Poor
54.0,56.850166,Satisfactory
56.0,61.093296,Satisfactory
298.0,301.27536,Very Poor
49.0,67.89563,Satisfactory
132.0,132.52385,Moderate
58.0,67.155174,Satisfactory
168.0,147.93317,Moderate
270.0,220.55771,Poor
118.0,155.25803,Moderate
212.0,179.23581,Moderate
303.0,287.07193,Poor
188.0,168.82051,Moderate
146.0,156.92596,Moderate
69.0,72.63517,Satisfactory
132.0,124.42095,Moderate
279.0,298.30093,Poor
339.0,343.64133,Very Poor
97.0,102.70233,Moderate
132.0,132.28008,Moderate
373.0,351.01248,Very Poor
132.0,132.28008,Moderate
132.0,132.52385,Moderate
60.0,52.001945,Satisfactory
240.0,287.5141,Poor
376.0,383.7967,Very Poor
334.0,371.2149,Very Poor
132.0,139.67894,Moderate
132.0,115.67433,Moderate
156.0,202.50404,Poor
336.0,303.9828,Very Poor
430.0,394.19366,Very Poor
127.0,102.50822,Moderate
132.0,96.525345,Satisfactory
322.0,311.80307,Very Poor
85.0,83.98784,Satisfactory
169.0,165.33907,Moderate
149.0,134.57205,Moderate
185.0,175.68587,Moderate
132.0,260.0644,Poor
101.0,96.098236,Satisfactory
93.0,105.363945,Moderate
178.0,175.5844,Moderate
104.0,111.89354,Moderate
189.0,259.7123,Poor
171.0,181.19601,Moderate
67.0,82.58645,Satisfactory
90.0,127.89214,Moderate
40.0,51.27079,Satisfactory
342.0,279.06863,Poor
65.0,73.48003,Satisfactory
117.0,131.83324,Moderate
132.0,422.77368,Severe
84.0,93.53943,Satisfactory
132.0,167.2456,Moderate
132.0,206.52444,Poor
88.0,74.180244,Satisfactory
361.0,310.49808,Very Poor
106.0,132.06859,Moderate
162.0,234.0938,Poor
65.0,68.03085,Satisfactory
142.0,164.77989,Moderate
96.0,99.30966,Satisfactory
303.0,276.62222,Poor
118.0,120.30234,Moderate
56.0,57.418552,Satisfactory
62.0,64.450195,Satisfactory
132.0,132.52385,Moderate
103.0,127.78184,Moderate
42.0,48.908337,Good
382.0,337.99524,Very Poor
124.0,127.333534,Moderate
160.0,165.6912,Moderate
347.0,340.62054,Very Poor
100.0,91.39371,Satisfactory
433.0,433.95224,Severe
132.0,131.47704,Moderate
132.0,131.47704,Moderate
417.0,408.1417,Severe
90.0,93.4056,Satisfactory
74.0,80.33645,Satisfactory
132.0,132.28008,Moderate
150.0,153.86485,Moderate
84.0,85.95925,Satisfactory
92.0,107.74238,Moderate
327.0,330.11087,Very Poor
335.0,315.75153,Very Poor
63.0,60.01095,Satisfactory
90.0,118.23754,Moderate
210.0,147.80116,Moderate
64.0,73.00803,Satisfactory
223.0,210.17569,Poor
547.0,574.8165,Severe
383.0,360.90845,Very Poor
149.0,154.96756,Moderate
144.0,125.10888,Moderate
84.0,78.75541,Satisfactory
132.0,132.52385,Moderate
105.0,108.21331,Moderate
