Actual_AQI,Predicted_AQI
276.0,250.51706
296.0,301.3657
54.0,62.181923
56.0,65.54674
298.0,305.6699
49.0,68.64884
132.0,132.20042
58.0,60.77724
168.0,153.75476
270.0,254.09428
118.0,146.12712
212.0,170.98628
303.0,282.09637
188.0,188.65349
146.0,160.2086
69.0,72.93405
132.0,127.83193
279.0,293.34747
339.0,352.53265
97.0,98.61425
132.0,131.90591
373.0,349.54135
132.0,131.90591
132.0,132.20042
60.0,57.282207
240.0,290.922
376.0,392.47925
334.0,367.28568
132.0,131.75452
132.0,113.9247
156.0,198.61542
336.0,300.80588
430.0,395.32965
127.0,99.32364
132.0,96.95567
322.0,307.33472
85.0,89.12246
169.0,162.00389
149.0,125.991585
185.0,171.8674
132.0,235.57184
101.0,101.44736
93.0,105.97769
178.0,171.63663
104.0,107.70811
189.0,248.27577
171.0,178.49591
67.0,77.00358
90.0,127.70281
40.0,58.62045
342.0,285.92593
65.0,79.04299
117.0,126.66538
132.0,425.68463
84.0,93.98009
132.0,168.95157
132.0,243.51184
88.0,74.85915
361.0,311.80432
106.0,128.98564
162.0,239.53621
65.0,75.87848
142.0,171.02248
96.0,102.58286
303.0,277.35312
118.0,120.88394
56.0,57.440926
62.0,66.771996
132.0,132.20042
103.0,127.980865
42.0,48.804783
382.0,331.77118
124.0,125.125046
160.0,169.85907
347.0,340.41284
100.0,93.23737
433.0,435.7348
132.0,131.77528
132.0,131.77528
417.0,402.363
90.0,93.026375
74.0,78.68783
132.0,131.90591
150.0,149.81711
84.0,84.94297
92.0,101.27753
327.0,325.724
335.0,306.36176
63.0,62.534115
90.0,113.09595
210.0,145.6007
64.0,73.38408
223.0,200.27881
500.0,489.5807
383.0,358.03342
149.0,154.74045
144.0,136.62816
84.0,78.47067
132.0,132.20042
105.0,112.06427
161.0,195.05031
114.0,142.52492
179.0,198.91
132.0,132.20042
132.0,132.20042
108.0,103.59846
86.0,88.779366
333.0,329.2233
88.0,95.98789
132.0,127.56329
248.0,210.938
221.0,225.36185
132.0,126.33913
139.0,131.16501
91.0,91.27318
40.0,47.55914
68.0,72.03465
179.0,184.64548
332.0,347.797
75.0,72.42931
163.0,135.4183
132.0,132.07416
322.0,292.94742
131.0,102.11361
27.0,42.577465
101.0,105.78778
105.0,93.70558
66.0,74.34105
131.0,144.03175
122.0,112.44491
110.0,107.88394
425.0,409.66403
140.0,103.74048
348.0,325.48157
132.0,132.20042
174.0,188.09225
132.0,132.20042
242.0,259.42746
98.0,82.17935
25.0,55.66741
249.0,228.15176
132.0,73.504555
132.0,131.69958
162.0,145.90938
67.0,80.35392
132.0,132.20042
363.0,343.07678
88.0,86.85861
128.0,126.05771
90.0,81.29653
412.0,396.34845
390.0,375.53128
132.0,132.20042
66.0,55.46634
