Actual_AQI,Predicted_AQI
276.0,251.45943
296.0,299.7858
54.0,61.4092
56.0,65.37244
298.0,304.39813
49.0,67.35601
132.0,132.16144
58.0,60.820477
168.0,151.4783
270.0,250.91492
118.0,149.03587
212.0,173.44048
303.0,284.00153
188.0,185.87508
146.0,161.84554
69.0,70.53301
132.0,125.45152
279.0,293.82196
339.0,348.65738
97.0,102.09847
132.0,131.91133
373.0,349.9518
132.0,131.91133
132.0,132.16144
60.0,57.56852
240.0,289.2527
376.0,382.29977
334.0,366.6914
132.0,132.43784
132.0,114.090904
156.0,204.96759
336.0,304.896
430.0,398.66385
127.0,100.73484
132.0,95.859566
322.0,307.5671
85.0,87.06853
169.0,161.48915
149.0,125.83091
185.0,171.31172
132.0,247.8805
101.0,101.439964
93.0,107.25203
178.0,173.24231
104.0,106.96596
189.0,252.69221
171.0,175.2317
67.0,77.88843
90.0,126.89693
40.0,58.870556
342.0,283.60913
65.0,79.31161
117.0,126.90673
132.0,424.9925
84.0,93.59091
132.0,168.70798
132.0,240.38675
88.0,74.36479
361.0,309.407
106.0,131.42203
162.0,241.44365
65.0,75.00282
142.0,169.15608
96.0,98.67419
303.0,275.9446
118.0,121.03683
56.0,56.55716
62.0,65.694244
132.0,132.16144
103.0,126.68139
42.0,49.31821
382.0,330.06094
124.0,125.5927
160.0,173.1646
347.0,341.104
100.0,92.54568
433.0,434.12463
132.0,131.72699
132.0,131.73352
417.0,401.0171
90.0,93.31791
74.0,77.26362
132.0,131.90688
150.0,150.40875
84.0,85.49024
92.0,102.57877
327.0,325.27838
335.0,308.68155
63.0,61.490314
90.0,115.197876
210.0,150.495
64.0,73.26452
223.0,201.95586
500.0,483.92145
383.0,357.49246
149.0,149.67538
144.0,139.67874
84.0,78.37768
132.0,132.16144
105.0,111.03626
161.0,197.60683
114.0,142.1408
179.0,197.77885
132.0,132.16144
132.0,132.16144
108.0,104.5031
86.0,88.60502
333.0,328.46298
88.0,97.14073
132.0,129.23842
248.0,212.48987
221.0,223.9798
132.0,125.81667
139.0,134.76959
91.0,92.50682
40.0,46.182392
68.0,70.07309
179.0,183.4495
332.0,347.3011
75.0,72.73786
163.0,135.97156
132.0,132.0771
322.0,293.0727
131.0,102.08912
27.0,41.32537
101.0,107.47536
105.0,93.26662
66.0,71.53132
131.0,147.72202
122.0,112.25357
110.0,105.28132
425.0,405.13382
140.0,106.11739
348.0,324.8184
132.0,132.16144
174.0,184.57973
132.0,132.16144
242.0,260.03827
98.0,80.51526
25.0,55.027805
249.0,229.71065
132.0,72.890785
132.0,132.06238
162.0,148.45721
67.0,80.89736
132.0,132.16144
363.0,344.84363
88.0,86.28118
128.0,127.890076
90.0,80.67467
412.0,404.379
390.0,374.36478
132.0,132.16144
66.0,55.918148
274.0,296.93176
169.0,184.7747
132.0,132.16144
368.0,319.56827
57.0,71.10113
480.0,489.6458
132.0,145.44576
420.0,398.69287
82.0,104.24612
201.0,145.10985
317.0,304.32645
140.0,140.48174
247.0,284.55542
132.0,131.72699
128.0,96.96429
132.0,147.921
116.0,168.83473
107.0,91.29804
167.0,157.12094
436.0,426.29764
124.0,120.49912
124.0,131.0856
118.0,125.1181
339.0,356.56595
238.0,254.0036
130.0,130.7055
354.0,336.5865
348.0,329.15042
132.0,119.94625
296.0,295.52887
135.0,149.12079
83.0,92.206116
89.0,91.17131
71.0,67.98912
132.0,131.90688
79.0,70.50683
133.0,143.83154
30.0,42.704838
243.0,244.99414
101.0,105.2917
500.0,493.01907
132.0,390.58627
383.0,385.47528
422.0,417.2552
88.0,70.192116
132.0,131.90688
138.0,104.55515
84.0,78.11735
50.0,48.5468
104.0,100.07104
425.0,399.01132
132.0,132.0771
407.0,374.53925
109.0,75.249435
455.0,446.62646
70.0,122.125275
60.0,60.31197
102.0,124.564575
307.0,300.7543
469.0,464.35184
132.0,148.88162
44.0,84.73123
48.0,55.72995
92.0,102.28331
106.0,115.63432
101.0,97.78228
277.0,248.66139
241.0,278.9819
59.0,84.463875
132.0,132.16144
38.0,48.445694
132.0,128.23413
330.0,338.32574
316.0,286.87018
242.0,237.2656
91.0,100.520546
218.0,235.13329
327.0,144.41644
277.0,274.31476
29.0,41.38224
149.0,124.2744
157.0,180.38338
132.0,131.72699
337.0,331.33774
348.0,359.28455
140.0,151.84477
213.0,240.15457
477.0,478.07605
127.0,107.74737
170.0,181.2513
276.0,258.05933
104.0,124.040054
358.0,310.33047
126.0,156.69568
339.0,334.7314
132.0,132.16144
161.0,187.81297
100.0,131.87343
104.0,114.67779
102.0,123.84053
201.0,206.45326
107.0,110.726135
104.0,130.13019
177.0,155.80035
121.0,129.84158
53.0,58.2739
74.0,79.50361
317.0,311.43497
127.0,102.53799
315.0,302.8091
166.0,134.22934
74.0,50.461517
73.0,94.786644
317.0,298.8174
209.0,226.74284
132.0,132.16144
196.0,169.43884
349.0,353.06863
132.0,134.77666
460.0,439.15616
143.0,140.43884
72.0,97.83551
103.0,114.00835
132.0,131.52042
132.0,132.16144
69.0,65.77912
73.0,80.664116
212.0,271.2447
73.0,94.46887
62.0,69.79593
132.0,131.91133
337.0,362.71848
53.0,72.630325
230.0,274.35645
65.0,61.848606
126.0,144.92181
132.0,132.14624
154.0,120.255806
102.0,112.75632
250.0,230.86765
132.0,131.90688
252.0,233.38632
85.0,123.58814
92.0,94.212776
117.0,150.92552
53.0,77.201935
83.0,73.716324
309.0,305.03976
144.0,136.16084
280.0,281.94373
41.0,43.812645
295.0,329.54547
113.0,124.078514
350.0,328.13043
132.0,132.16144
295.0,299.18515
184.0,209.82553
127.0,123.73707
104.0,112.953674
114.0,112.18817
132.0,132.16144
132.0,132.16144
156.0,159.25925
149.0,134.16766
309.0,311.4352
132.0,131.90688
140.0,154.177
156.0,139.43901
164.0,158.4328
132.0,131.91133
351.0,360.27332
57.0,60.601162
315.0,322.00507
145.0,157.65538
52.0,62.08418
132.0,132.14624
98.0,81.223206
110.0,119.10928
132.0,131.90688
19.0,35.988464
88.0,77.64682
112.0,103.27959
132.0,131.72699
191.0,203.87509
132.0,132.16144
35.0,47.636314
224.0,233.31499
137.0,155.93718
81.0,88.19909
118.0,110.66102
115.0,88.0019
149.0,164.08493
65.0,78.67602
141.0,149.97504
132.0,131.6699
67.0,57.91746
95.0,88.97336
366.0,404.385
132.0,140.80437
237.0,205.5284
64.0,75.17266
500.0,413.68076
64.0,61.439735
132.0,132.16144
132.0,132.16144
112.0,99.083
98.0,329.10458
94.0,116.41782
216.0,211.83238
132.0,131.90688
357.0,346.88034
296.0,291.91763
132.0,126.193016
117.0,109.34811
132.0,132.16144
94.0,97.54258
280.0,290.52554
136.0,131.55351
132.0,151.73697
78.0,79.65643
331.0,293.616
59.0,65.41409
130.0,118.35746
88.0,108.55914
146.0,155.78229
41.0,46.838062
222.0,303.0764
500.0,453.1005
214.0,231.58115
52.0,60.11431
73.0,75.58688
274.0,283.59305
85.0,84.16806
132.0,132.16144
